,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,set
1985,-0.0030000000000000005,-1.0193333333333332,-0.17633333333333334,0.951,5.3048,3.6706000000000003,57
1986,0.01,-1.0185,-0.172,-3.4391999999999996,-1.7560000000000002,2.7681999999999998,57
1987,0.0036666666666666666,0.9663333333333334,-0.081,1.8412,-4.7806,-2.5608,7
1988,-0.0125,0.9624999999999999,-0.089,2.195,-2.1096,-2.8538,7
1989,-0.028,0.867,-0.125,9.524600000000001,-2.8289999999999997,-11.1828,7
1990,-0.062,0.873,-0.15500000000000003,16.5608,-4.4268,-13.0368,7
1991,-0.09666666666666666,0.9043333333333333,-0.169,7.6952,-11.8538,-3.0363999999999995,7
1992,-0.11549999999999999,0.963,-0.1765,-1.5486,-13.9268,7.9756,7
1993,-0.10433333333333333,1.11,-0.14033333333333334,-10.3658,-12.9512,12.634,7
1994,-0.1565,1.323,-0.139,-4.4878,8.3172,-20.4146,7
1995,-0.152,0.9333333333333332,-0.13033333333333333,6.1708,9.9268,-8.256,7
1996,-0.158,0.9430000000000001,-0.1205,1.6098,2.9514,2.7194,7
1997,-0.131,0.9506666666666667,-0.14966666666666667,-2.4024,-0.7804,10.5,7
1998,-0.0995,0.9524999999999999,-0.1195,-8.9388,-0.28060000000000007,22.1584,7
1999,-0.027333333333333334,0.848,-0.11433333333333333,-9.195,7.0854,22.0854,7
2000,0.018000000000000002,0.925,-0.11699999999999999,9.2436,-7.8782,-3.6339999999999995,7
2001,0.007666666666666666,0.9546666666666667,-0.127,5.2438,-4.122,-5.195,7
2002,-0.0075,0.8915,-0.1545,10.5,-3.4024,-11.8416,7
2003,-0.06033333333333333,0.8276666666666667,-0.18666666666666668,17.7804,-5.1462,-14.5244,7
2004,-0.111,0.895,-0.215,9.0852,-7.8658,-4.0244,7
2005,-0.11466666666666665,0.9226666666666666,-0.19966666666666666,-9.2928,-19.0854,11.4512,7
2006,-0.1015,1.325,-0.16399999999999998,-4.9756,-5.9512,3.8902,7
2007,-0.147,1.1366666666666667,-0.16,3.2681999999999993,15.183000000000002,-28.756,7
2008,-0.1805,0.902,-0.20350000000000001,9.9876,3.8414,-3.1950000000000003,7
2009,-0.19200000000000003,0.9183333333333333,-0.2333333333333333,-2.5368,-1.0732,3.7682,7
2010,-0.16849999999999998,0.949,-0.21000000000000002,-10.5364,-1.122,12.1098,7
2011,-0.11433333333333333,0.9716666666666667,-0.154,-26.280399999999997,9.183,27.683,7
2012,-0.013,0.7955,-0.10899999999999999,-6.5486,3.0367999999999995,15.938999999999998,7
2013,0.006000000000000001,0.9279999999999999,-0.08433333333333333,10.402600000000001,-9.317,-4.061,7
2014,-0.0185,0.9615,-0.0915,4.8172,-3.7683999999999997,-1.6829999999999998,7
2015,-0.02466666666666667,0.9603333333333333,-0.11399999999999999,4.89,-2.622,-2.8777999999999997,7
2016,-0.040999999999999995,0.8400000000000001,-0.15250000000000002,12.073,-7.1952,-12.1098,7
2017,-0.09066666666666667,0.8456666666666667,-0.207,13.183000000000002,-6.7928,-19.0854,7
2018,-0.1355,0.8714999999999999,-0.2155,7.0122,-7.5120000000000005,-2.0488,7
2019,-0.13833333333333334,0.9396666666666667,-0.157,-3.4878,-15.4268,17.1342,7
2020,-0.16649999999999998,1.423,-0.14500000000000002,-12.7924,0.2562000000000005,-8.0,7
2021,-0.17666666666666667,1.0553333333333332,-0.14033333333333334,4.9878,10.4756,-16.8416,7
2022,-0.1885,0.886,-0.196,7.5608,3.939,-0.06120000000000001,7
