,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,label
5096,0.0375,-1.116,-0.178,-4.232,-7.9510000000000005,0.5366,dead
8545,0.9843333333333333,-0.213,-0.039,-1.1098,-1.0122,1.0246,rest
4386,0.2125,0.22099999999999997,0.3905,8.9024,5.8658,0.9878,squat
2215,0.024000000000000004,-1.139,-0.004999999999999998,20.0,-2.5,1.8778,dead
7299,0.0,-1.0695000000000001,-0.07550000000000001,3.9512,-5.841200000000001,4.0,row
6706,0.982,-0.2165,-0.0595,-1.8172000000000001,-2.1706,-0.23160000000000003,rest
7931,0.37,-1.0695,0.526,6.5,-42.6704,32.244,rest
6854,-0.11399999999999999,0.96,-0.20750000000000002,-2.2074,-6.9024,2.317,bench
4942,-0.007,-1.1273333333333333,-0.06999999999999999,26.3902,-5.3536,-2.5732,dead
6481,-0.039,0.9695,-0.263,-7.0,-8.756,9.9024,bench
3785,-0.048,-1.204,-0.048,8.683,3.8048,-0.30500000000000005,row
7838,-0.006,0.96,-0.15000000000000002,0.5,-0.26820000000000005,-2.1462,bench
6231,0.07500000000000001,0.7825,0.409,-11.4756,-5.0854,-0.512,squat
815,-0.3855,1.01,-0.121,72.9148,26.744,-36.5364,ohp
8600,1.0065,-0.2245,0.11549999999999999,33.1706,-4.0244,-6.2806,rest
618,-0.32799999999999996,0.8285,-0.27949999999999997,27.5366,6.244,-9.5852,ohp
7327,-0.0315,-1.139,-0.0915,7.3902,-0.24399999999999994,1.8903999999999996,row
2692,-0.2046666666666667,1.2756666666666667,0.23866666666666667,6.255999999999999,39.1342,-87.0488,bench
4863,0.069,-0.6545000000000001,0.057499999999999996,47.9512,11.5,1.9878,dead
7593,-0.066,0.9359999999999999,-0.1795,-35.4758,0.5122,27.683,bench
1042,-0.1675,0.6205,-0.14600000000000002,34.8904,-6.7562,-48.2558,ohp
2377,-0.14200000000000002,0.909,-0.318,3.0976,-2.7074,-0.06099999999999994,bench
4894,0.06966666666666667,-1.0966666666666667,-0.01966666666666667,20.0124,-1.1097999999999997,-0.24380000000000007,dead
7685,0.6943333333333332,-0.38466666666666666,0.628,-4.4268,3.317,-2.1706,rest
6415,-0.1275,1.1435,-0.178,0.3416,10.9512,-11.5122,bench
1074,-0.4305,0.8345,-0.358,-4.2318,-3.9879999999999995,-11.7316,ohp
1396,0.11033333333333334,0.601,0.791,25.122,5.7926,6.9756,squat
8713,0.07300000000000001,-0.8650000000000001,0.453,15.622,-43.64640000000001,12.0122,rest
8587,0.9706666666666667,-0.253,0.06133333333333333,1.4146,-1.1221999999999999,1.0246,rest
3087,0.102,-0.32366666666666666,0.162,-8.4022,17.8172,10.2562,row
179,-0.1155,0.8815,0.022,-30.2562,-4.1218,34.8658,bench
8325,-0.048,-1.0415,-0.0765,1.4146,-5.6218,0.2926,row
3921,0.34199999999999997,0.546,0.7815,8.1098,-1.2195999999999998,3.5607999999999995,squat
3245,0.053,-1.472,-0.178,32.4148,-29.877999999999997,-23.4634,row
3098,0.0145,-1.3775,0.051000000000000004,53.4636,-12.232,-36.3902,row
6983,0.1625,-0.8554999999999999,0.46399999999999997,-5.7926,35.805,-13.463400000000002,rest
3955,0.40349999999999997,0.5285,0.982,1.4998,-3.134,-5.5976,squat
1157,-0.14200000000000002,0.6579999999999999,-0.067,20.5976,-6.4268,4.1584,ohp
6492,-0.02266666666666667,0.9543333333333334,-0.2373333333333333,6.1464,-6.3414,0.7438,bench
1532,-0.21666666666666667,0.7266666666666666,0.3436666666666666,-25.0608,-12.6706,-3.0612,squat
8196,-0.05333333333333334,-1.175,-0.10033333333333333,-6.317,1.6217999999999997,5.0123999999999995,row
1535,-0.271,0.976,0.6385000000000001,-0.04860000000000042,-5.2074,-1.2075999999999998,squat
6860,-0.027000000000000003,0.6435,-0.14400000000000002,11.817,-11.5244,1.5488,bench
6273,0.07650000000000001,0.89,0.41100000000000003,3.0852,-1.7684000000000002,-1.8292000000000002,squat
2728,-0.27466666666666667,0.8906666666666666,-0.011666666666666667,4.755999999999999,0.6828000000000001,31.622000000000003,ohp
5682,0.058499999999999996,-1.0655000000000001,0.1225,-9.1828,-0.5976000000000001,1.9756,dead
6432,0.006666666666666667,0.9763333333333333,-0.09033333333333333,0.817,-3.4876000000000005,0.5730000000000001,bench
8345,-0.003,-0.9764999999999999,-0.028,0.9390000000000001,-10.0122,2.061,row
1480,-0.20266666666666666,0.7853333333333333,0.24166666666666667,16.927,-7.2926,-1.134,squat
6551,-0.0635,1.223,-0.156,-8.3902,-0.06099999999999998,0.9269999999999999,bench
8808,-0.058499999999999996,-1.0185,-0.08049999999999999,1.5852,-1.451,0.012199999999999989,row
8948,-0.012,-1.2545000000000002,-0.1255,-8.5488,0.7318000000000002,7.683,row
2676,-0.22033333333333335,0.8809999999999999,0.028,-8.1708,22.3536,43.256,bench
1952,0.0016666666666666668,-0.8213333333333334,0.2836666666666667,-29.877999999999997,0.9878000000000002,-3.1586,dead
8621,0.345,-1.0143333333333333,0.38033333333333336,18.6464,-99.5854,60.0366,rest
8772,0.196,-0.9025000000000001,0.4155,12.7804,20.9514,-19.817,rest
1163,-0.037,1.2125,-0.0515,9.0244,-1.7681999999999998,-26.7074,ohp
6676,0.573,-0.9325000000000001,0.344,-45.5488,169.195,33.7196,rest
